playerid,namefirst,namelast,sackposition,sacktype,sackyards,sackend
20140551,Jay,Elliot,LB,1,-7,in bounds
20140551,Jay,Elliot,LB,1,-7,in bounds
20140892,Phillip,Steward,LB,1,-7,in bounds
20140554,Adrian,Hubbard,LB,1,-8,in bounds
20060606,Tom,Johnson,DT,1,-6,in bounds
20120029,Harrison,Smith,S,1,-9,in bounds
20100046,Linval,Joseph,DT,1,-10,in bounds
20100100,Everson,Griffen,DE,1,-1,in bounds
20100100,Everson,Griffen,DE,1,-1,in bounds
20060014,Brodrick,Bunkley,NT,1,-8,in bounds
20120680,Tyrunn,Walker,DE,1,-14,in bounds
20130705,Glenn,Foster,DE,1,-6,in bounds
20140169,Ronald,Powell,OLB,1,-5,in bounds
20100015,Jason,Pierre-Paul,DE,1,-5,in bounds
20130071,T.J.,McDonald,S,1,-5,in bounds
20140823,Kerry,Wynn,DE,1,-4,in bounds
20050074,Justin,Tuck,DE,1,-7,in bounds
20080103,William,Hayes,DE,1,-8,in bounds
20080002,Chris,Long,DE,1,-7,in bounds
20110014,Robert,Quinn,DE,1,-8,in bounds
20110014,Robert,Quinn,DE,1,-11,in bounds
20140013,Aaron,Donald,DT,1,-8,in bounds
20110014,Robert,Quinn,DE,1,-5,in bounds
20140013,Aaron,Donald,DT,1,-5,in bounds
20100189,Eugene,Sims,DE,1,-9,in bounds
20110014,Robert,Quinn,DE,1,-7,in bounds
20090582,Dan,Skuta,LB,1,-9,in bounds
20060772,Ahmad,Brooks,LB,1,-7,in bounds
20090582,Dan,Skuta,LB,1,-3,in bounds
20090582,Dan,Skuta,LB,1,-1,in bounds
20060772,Ahmad,Brooks,LB,1,-4,in bounds
20060207,Antoine,Bethea,S,1,-5,in bounds
20030010,Terrell,Suggs,OLB,1,-8,in bounds
20060126,Elvis,Dumervil,OLB,1,-11,in bounds
20030010,Terrell,Suggs,OLB,0.5,-6,in bounds
20120072,Olivier,Vernon,DE,1,-5,in bounds
20140017,C.J.,Mosley,LB,1,-5,in bounds
20060126,Elvis,Dumervil,OLB,1,-4,in bounds
20060126,Elvis,Dumervil,OLB,1,-7,in bounds
20130635,Stefan,Charles,DT,1,-12,in bounds
20060001,Mario,Williams,DE,1,-3,in bounds
20060001,Mario,Williams,DE,1,-10,in bounds
20060001,Mario,Williams,DE,0.5,-4,in bounds
20060001,Mario,Williams,DE,1,-6,in bounds
20120072,Olivier,Vernon,DE,1,-6,in bounds
20100081,Earl,Mitchell,DT,1,-4,in bounds
20120072,Olivier,Vernon,DE,1,-3,in bounds
20050454,Cameron,Wake,DE,1,-8,in bounds
20050454,Cameron,Wake,DE,1,-8,in bounds
20110072,Martez,Wilson,DE,1,-1,in bounds
20050454,Cameron,Wake,DE,1,-6,in bounds
20120072,Olivier,Vernon,DE,1,-9,in bounds
20100056,Mike,Neal,LB,1,-7,in bounds
20090218,Brad,Jones,LB,1,-9,in bounds
20120072,Olivier,Vernon,DE,0.5,-1,in bounds
20120011,Dontari,Poe,DT,1,-3,in bounds
20040071,Randy,Starks,DT,1,-5,in bounds
20120072,Olivier,Vernon,DE,1,-3,in bounds
20130104,Jelani,Jenkins,LB,1,-8,in bounds
20060020,Tamba,Hali,LB,1,-8,in bounds
20100028,Jared,Odrick,DT,1,-1,in bounds
20040071,Randy,Starks,DT,0.5,-1,in bounds
20110070,Justin,Houston,LB,1,0,in bounds
20120011,Dontari,Poe,DT,0.5,-3,in bounds
20140622,Kamal,Johnson,DT,0.5,-8,in bounds
20140626,Garrison,Smith,DT,1,-7,in bounds
20140763,Ethan,Westbrooks,DT,1,-8,in bounds
20130104,Jelani,Jenkins,LB,1,-8,in bounds
20140809,Chris,McCain,LB,1,-8,in bounds
20140809,Chris,McCain,LB,1,-3,in bounds
20050454,Cameron,Wake,DE,1,-5,in bounds
20130003,Dion,Jordan,DE,1,-7,in bounds
20040071,Randy,Starks,DT,1,-5,in bounds
20060606,Tom,Johnson,DT,1,-13,in bounds
20050454,Cameron,Wake,DE,1,-4,in bounds
20050454,Cameron,Wake,DE,1,-3,in bounds
20140809,Chris,McCain,LB,1,-9,in bounds
20120072,Olivier,Vernon,DE,1,-7,in bounds
20080010,Jerod,Mayo,LB,1,-9,in bounds
20050454,Cameron,Wake,DE,1,-4,in bounds
20070047,David,Harris,LB,0.5,-8,in bounds
20040071,Randy,Starks,DT,1,-6,in bounds
20130013,Sheldon,Richardson,DL,1,-5,in bounds
20110030,Muhammad,Wilkerson,DL,0.5,-8,in bounds
20120077,Demario,Davis,LB,1,-7,in bounds
20120016,Quinton,Coples,LB,1,-7,in bounds
20120016,Quinton,Coples,LB,1,-6,in bounds
20070047,David,Harris,LB,1,-10,in bounds
20040071,Randy,Starks,DT,1,-3,in bounds
20100079,Donald,Butler,ILB,1,-4,in bounds
20100081,Earl,Mitchell,DT,1,-8,in bounds
20120072,Olivier,Vernon,DE,1,0,in bounds
20050454,Cameron,Wake,DE,1,-9,in bounds
20140009,Anthony,Barr,LB,1,-12,in bounds
20140408,Justin,Renfrow,DT,1,-8,in bounds
20140009,Anthony,Barr,LB,1,-10,in bounds
20130023,Sharrif,Floyd,DT,1,-5,in bounds
20120029,Harrison,Smith,S,1,-1,in bounds
20070083,Charles,Johnson,DE,1,-8,in bounds
20120009,Luke,Kuechly,LB,1,-7,in bounds
20100100,Everson,Griffen,DE,1,-10,in bounds
20120009,Luke,Kuechly,LB,1,-5,in bounds
20100100,Everson,Griffen,DE,1,-8,in bounds
20100046,Linval,Joseph,DT,0.5,-4,in bounds
20050224,Jay,Ratliff,DT,1,-8,in bounds
20140475,Christian,Jones,LB,1,-3,in bounds
20100109,Corey,Wootton,DE,1,-3,in bounds
20130233,David,Bass,DE,1,-8,in bounds
20100002,Ndamukong,Suh,DT,1,-1,in bounds
20130005,Ezekiel,Ansah,DE,1,-6,in bounds
20090076,DeAndre,Levy,LB,0.5,-10,in bounds
20090150,Jasper,Brinkley,LB,1,-10,in bounds
20080054,Jason,Jones,DE,0.5,-5,in bounds
20100100,Everson,Griffen,DE,1,-4,in bounds
20060606,Tom,Johnson,DT,1,-8,in bounds
20050191,C.J.,Mosley,DT,0.5,-7,in bounds
20070102,Brian,Robison,DE,0.5,-8,in bounds
20100638,George,Johnson,DE,1,-7,in bounds
20130005,Ezekiel,Ansah,DE,1,-7,in bounds
20100002,Ndamukong,Suh,DT,1,-2,in bounds
20120132,Mike,Daniels,DT,1,-7,in bounds
20070102,Brian,Robison,DE,1,-2,in bounds
20130159,Micah,Hyde,DB,1,-7,in bounds
20120021,Chandler,Jones,DE,1,-3,in bounds
20120025,Dont'a,Hightower,LB,1,-8,in bounds
20120021,Chandler,Jones,DE,1,-4,in bounds
20060606,Tom,Johnson,DT,1,-7,in bounds
20080598,Kyle,Arrington,CB,1,0,in bounds
20060135,Rob,Ninkovich,DE,1,-10,in bounds
20120025,Dont'a,Hightower,LB,1,-14,in bounds
20070102,Brian,Robison,DE,1,0,in bounds
20120029,Harrison,Smith,S,1,-12,in bounds
20130013,Sheldon,Richardson,DL,1,-8,in bounds
20100100,Everson,Griffen,DE,1,0,in bounds
20120242,Antonio,Allen,S,1,-9,in bounds
20130013,Sheldon,Richardson,DL,1,-3,in bounds
20130013,Sheldon,Richardson,DL,1,-1,in bounds
20080077,Pat,Sims,DT,1,-5,in bounds
20140235,Shelby,Harris,DE,1,-12,in bounds
20060606,Tom,Johnson,DT,0.5,-3,in bounds
20130066,Sio,Moore,LB,1,-4,in bounds
20100041,Torell,Troup,DT,0.5,-7,in bounds
20100109,Corey,Wootton,DE,1,0,in bounds
20110859,Ricky,Lumpkin,DT,0.5,-7,in bounds
20100461,Justin,Cole,LB,1,-8,in bounds
20120614,Kaelin,Burnett,LB,1,-5,in bounds
20140009,Anthony,Barr,LB,1,-8,in bounds
20140047,Trent,Murphy,LB,1,-9,in bounds
20060092,Jason,Hatcher,DE,1,-7,in bounds
20100100,Everson,Griffen,DE,1,0,in bounds
20060017,Chad,Greenway,LB,1,-10,in bounds
20070102,Brian,Robison,DE,1,-4,in bounds
20130023,Sharrif,Floyd,DT,1,-4,in bounds
20130023,Sharrif,Floyd,DT,0.5,-4,in bounds
20140048,Timmy,Jernigan,DT,1,-6,in bounds
20110165,Pernell,McPhee,OLB,0.5,-4,in bounds
20130052,Jamie,Collins,LB,1,-24,in bounds
20130052,Jamie,Collins,LB,1,-6,in bounds
20130635,Stefan,Charles,DT,1,-7,in bounds
20090182,Jarius,Wynn,DE,1,-3,in bounds
20110039,Akeem,Ayers,LB,1,-6,in bounds
20060001,Mario,Williams,DE,1,-1,in bounds
20100031,Jerry,Hughes,DE,1,-3,in bounds
20060022,Manny,Lawson,DE,0.5,-15,in bounds
20060135,Rob,Ninkovich,DE,1,-4,in bounds
20120021,Chandler,Jones,DE,1,-6,in bounds
20120021,Chandler,Jones,DE,1,-9,in bounds
20140198,Zach,Moore,DL,1,-3,in bounds
20110039,Akeem,Ayers,LB,1,-9,in bounds
20140198,Zach,Moore,DL,0.5,-5,in bounds
20140029,Dominique,Easley,DL,1,-4,in bounds
20100044,Lamarr,Houston,DE,1,-11,in bounds
20040117,Robert,Geathers,DE,1,-7,in bounds
20130198,Chris,Jones,DT,1,-8,in bounds
20050011,DeMarcus,Ware,DE,1,-1,in bounds
20110039,Akeem,Ayers,LB,1,-9,in bounds
20110039,Akeem,Ayers,LB,1,-11,in bounds
20060135,Rob,Ninkovich,DE,1,-9,in bounds
20060135,Rob,Ninkovich,DE,1,-8,in bounds
20030066,Cory,Redding,DE,1,-6,in bounds
20110490,Sealver,Siliga,DT,1,-2,in bounds
20120021,Chandler,Jones,DE,1,-16,in bounds
20060135,Rob,Ninkovich,DE,1,-9,in bounds
20120025,Dont'a,Hightower,LB,0.5,-11,in bounds
20120021,Chandler,Jones,DE,1,-5,in bounds
20120025,Dont'a,Hightower,LB,1,-1,in bounds
20070047,David,Harris,LB,1,-1,in bounds
20130743,Casey,Walker,DT,1,-5,in bounds
20120021,Chandler,Jones,DE,1,-15,in bounds
20050074,Justin,Tuck,DE,1,-5,in bounds
20100230,C.J.,Wilson,DL,1,-8,in bounds
20060135,Rob,Ninkovich,DE,1,-6,in bounds
20100013,Brandon,Graham,LB,1,-8,in bounds
20140861,Alejandro,Villanueva,DE,1,-11,in bounds
20050059,Jonathan,Babineaux,DT,1,-7,in bounds
20140037,Ra'Shede,Hageman,DE,1,-7,in bounds
20080113,Dwight,Lowery,S,1,-18,in bounds
20100083,Corey,Peters,DT,1,-7,in bounds
20080154,Kroy,Biermann,DE,1,-3,in bounds
20130129,John,Simon,OLB,1,-7,in bounds
20140017,C.J.,Mosley,LB,1,-6,in bounds
20060126,Elvis,Dumervil,OLB,1,-3,in bounds
20100680,Junior,Galette,OLB,1,-9,in bounds
20030010,Terrell,Suggs,OLB,1,-6,in bounds
20060126,Elvis,Dumervil,OLB,1,-6,in bounds
20130044,Kawann,Short,DT,1,-2,in bounds
20110567,Mario,Addison,DE,1,-15,in bounds
20060140,Parys,Haralson,OLB,1,-1,in bounds
20110024,Cameron,Jordan,DE,1,-10,in bounds
20020002,Julius,Peppers,LB,1,-4,in bounds
20090026,Clay,Matthews,LB,1,-5,in bounds
20110024,Cameron,Jordan,DE,1,-5,in bounds
20140660,Kasim,Edebali,OLB,1,-4,in bounds
20140660,Kasim,Edebali,OLB,1,-5,in bounds
20100680,Junior,Galette,OLB,1,-8,in bounds
20140009,Anthony,Barr,LB,1,-5,in bounds
20090216,Captain,Munnerlyn,CB,0.5,-9,in bounds
20110024,Cameron,Jordan,DE,1,-7,in bounds
20120680,Tyrunn,Walker,DE,1,-2,in bounds
20110024,Cameron,Jordan,DE,1,-9,in bounds
20060140,Parys,Haralson,OLB,1,-6,in bounds
20090538,Ramon,Humber,ILB,1,-7,in bounds
20130157,Quinton,Dial,DT,1,-5,in bounds
20060772,Ahmad,Brooks,LB,1,0,in bounds
20100680,Junior,Galette,OLB,1,-1,in bounds
20110024,Cameron,Jordan,DE,1,-1,in bounds
20100680,Junior,Galette,OLB,1,-7,in bounds
20130015,Kenny,Vaccaro,S,1,-11,in bounds
20110024,Cameron,Jordan,DE,1,0,in bounds
20110039,Akeem,Ayers,LB,1,-3,in bounds
20140660,Kasim,Edebali,OLB,1,-2,in bounds
20100015,Jason,Pierre-Paul,DE,1,-7,in bounds
20090018,Robert,Ayers,DE,1,-7,in bounds
20080050,Calais,Campbell,DE,1,-9,in bounds
20090095,Rashad,Johnson,S,1,-9,in bounds
20130049,Johnathan,Hankins,DT,1,-8,in bounds
