playerid,namefirst,namelast,intposition,int,intyards,inttd
20040173,Von,Hutchins,DB,1,77,1
20040125,Jason,David,DB,1,0,0
19960071,Donnie,Abraham,CB,1,0,0
20000547,Nick,Harper,DB,1,0,0
20000547,Nick,Harper,DB,1,0,0
20020017,Phillip,Buchanon,CB,1,0,0
20030198,Cato,June,LB,1,0,0
20040125,Jason,David,DB,1,34,1
19960098,Donnie,Edwards,LB,1,2,0
20000028,Rob,Morris,LB,1,17,0
20040125,Jason,David,DB,1,1,0
20010060,Andre,Dyson,CB,1,44,0
20020041,Lamont,Thompson,S,1,9,0
20030481,Gary,Brackett,LB,1,2,0
19980025,Donovin,Darius,S,1,20,0
20040110,Nathan,Vasher,CB,1,38,0
20030039,Rashean,Mathis,CB,1,21,0
19980025,Donovin,Darius,S,1,15,0
20030039,Rashean,Mathis,CB,1,0,0
20030220,Blue,Adams,CB,1,-1,0
20000057,Deon,Grant,S,1,4,0
19980051,Kailee,Wong,LB,1,0,0
19940018,Dewayne,Washington,CB,1,0,0
20040039,Daryl,Smith,LB,1,0,0
20000493,Deke,Cooper,S,1,0,0
20020009,John,Henderson,DT,1,0,0
19940210,Keith,Burns,LB,1,8,0
19980025,Donovin,Darius,S,1,7,0
19940018,Dewayne,Washington,CB,1,0,0
20040092,Rich,Gardner,CB,1,-1,0
20000085,Greg,Wesley,S,1,0,0
19980216,Eric,Warfield,CB,1,6,0
19980216,Eric,Warfield,CB,1,0,0
19980216,Eric,Warfield,CB,1,43,1
20040028,Chris,Gamble,CB,1,13,0
19970040,Dexter,McCleon,CB,1,23,0
19970040,Dexter,McCleon,CB,1,0,0
19980216,Eric,Warfield,CB,1,0,0
19960133,Marcus,Coleman,FS,1,102,1
20000085,Greg,Wesley,S,1,65,0
19940145,Rodney,Harrison,S,1,12,0
20030032,Tyler,Brayton,DE,1,24,0
20040510,Benny,Sapp,CB,1,0,0
19960098,Donnie,Edwards,LB,1,13,0
19980113,Shawn,Barber,LB,1,60,1
19990468,Clifton,Crosby,CB,1,-1,0
19980010,Duane,Starks,CB,1,41,1
20010021,Nate,Clements,CB,1,5,0
19980013,Takeo,Spikes,LB,1,33,0
20040660,Rashad,Baker,S,1,26,0
19970436,Pat,Williams,DT,1,20,1
20030111,Terrence,McGee,CB,1,21,0
